
NOMI                    NBREPAS                             
-------------------- ----------                             
Thomas                        2                             
Phil                          1                             
Jacques                       1                             
Patrick                       1                             
Adrian                        4                             
Myriam                        1                             
Malou                         1                             
Toto                          1                             
Marie                         3                             
Jackie                        1                             

10 rows selected.

